,0
Appliances_lag1,0.17054869
Appliances_roll_mean3,0.08927787
hour_sin,0.061801877
hour_cos,0.059146482
is_weekend,0.05056176
hour,0.050369512
Appliances_roll_std3,0.043356035
Appliances_lag2,0.041588042
Appliances_lag24,0.036947265
Appliances_roll_mean168,0.035984594
dayofweek,0.03274978
dow_sin,0.03082334
Appliances_lag3,0.030414203
Appliances_lag168,0.029574865
RH_1,0.026338547
Appliances_roll_std168,0.024913777
Appliances_roll_std24,0.024680734
T1,0.024257436
dow_cos,0.024142249
Appliances_roll_mean24,0.021463525
Appliances_lag48,0.021205707
Windspeed,0.018756166
RH_out,0.018134814
Press_mm_hg,0.017013473
T_out,0.015949272
