order,seasonal_order,aic,bic,converged
"(1, 1, 3)","(1, 1, 1, 24)",32185.10249386732,32226.912169356172,False
"(1, 0, 3)","(1, 1, 1, 24)",32186.078139988167,32227.890228022276,False
"(1, 0, 2)","(1, 1, 1, 24)",32198.747828001866,32234.588827786014,True
"(2, 0, 0)","(1, 1, 1, 24)",32208.075003545797,32237.94422542552,True
"(2, 0, 1)","(1, 1, 1, 24)",32209.58413910916,32245.427205364827,True
"(0, 0, 4)","(1, 1, 1, 24)",32214.7739569256,32256.58363241445,True
"(1, 1, 2)","(1, 1, 1, 24)",32216.08822076337,32251.927153364035,True
"(1, 0, 1)","(1, 1, 1, 24)",32229.729602460906,32259.59882434063,True
"(1, 0, 4)","(1, 1, 1, 24)",32242.458525053058,32290.24101132603,False
"(0, 1, 4)","(1, 1, 1, 24)",32245.430814498683,32287.238076610505,True
"(0, 0, 3)","(1, 1, 1, 24)",32258.365863370334,32294.204795971,True
"(0, 1, 3)","(1, 1, 1, 24)",32312.139091653207,32347.975956357936,True
"(0, 0, 2)","(1, 1, 1, 24)",32357.274416578002,32387.141916398126,True
"(1, 1, 1)","(1, 1, 1, 24)",32371.619890287584,32401.487390107708,True
"(1, 0, 0)","(1, 1, 1, 24)",32380.336397255287,32404.233151932433,True
"(0, 1, 2)","(1, 1, 1, 24)",32438.353228830558,32468.21900599778,True
"(0, 1, 1)","(1, 1, 1, 24)",32462.900598765693,32486.794598621793,True
"(1, 1, 4)","(1, 1, 1, 24)",32529.409101875797,32577.188830003593,False
"(1, 1, 0)","(1, 1, 1, 24)",32635.054766676534,32658.95014418031,True
"(0, 0, 1)","(1, 1, 1, 24)",32658.399200544212,32682.29457804799,True
"(0, 0, 0)","(1, 1, 1, 24)",33138.08626405196,33156.00883005982,True
"(0, 1, 0)","(1, 1, 1, 24)",33232.9876681678,33250.90920129563,True
